# Rime user dictionary
#@/db_name	wubi_moye
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	1360
#@/user_id	emacs@mac
ugvi 	美妙	c=1 d=1 t=925
uh 	站	c=3 d=1.06397 t=1164
uj 	间	c=1 d=1 t=940
ujf 	音	c=1 d=1 t=941
uk 	部	c=1 d=1 t=972
ukd 	问	c=3 d=1.42124 t=1033
ukh 	冲	c=1 d=0.319819 t=1360
ukjg 	问题	c=2 d=1.82283 t=1065
ukn 	总	c=5 d=1.32024 t=1230
umq 	疯	c=1 d=1 t=429
uplp 	旁边	c=1 d=1 t=815
uqd 	奖	c=1 d=0.196912 t=1360
uqou 	资料	c=3 d=1.53727 t=1314
usr 	新	c=1 d=1 t=688
utu 	疼	c=1 d=1 t=490
uuyn 	立刻	c=1 d=1 t=824
uv 	妆	c=1 d=0.740818 t=1360
ux 	北	c=1 d=0.362402 t=1360
uxe 	背	c=2 d=0.370775 t=1360
v 	发	c=1 d=1 t=1202
vb 	好	c=6 d=1.27994 t=1354
vbds 	好奇	c=1 d=1 t=1031
vbn 	她	c=16 d=2.86334 t=1360
vfb 	那	c=8 d=1.21854 t=1360
vkjs 	如果	c=1 d=0.527292 t=1360
vn 	刀	c=1 d=0.463013 t=1360
vpe 	嫁	c=2 d=0.247377 t=1360
vvtg 	女生	c=1 d=1 t=612
vvv 	女	c=2 d=0.60694 t=1360
vy 	妨	c=1 d=0.559898 t=1360
vynu 	忍	c=1 d=1 t=950
w 	人	c=11 d=3.11241 t=1360
wadc 	代码	c=2 d=1.8781 t=937
wb 	他	c=4 d=0.809125 t=1360
wc 	公	c=3 d=1.30519 t=1360
wcy 	仅	c=2 d=1.99005 t=1344
wdt 	做	c=2 d=1.56945 t=1360
wf 	会	c=3 d=1.09667 t=1360
wfkb 	舒	c=5 d=1.86558 t=1328
wftc 	什么	c=6 d=1.5423 t=1360
wggj 	合理	c=1 d=0.149569 t=1360
wgif 	剑法	c=1 d=0.142274 t=1360
wgk 	合	c=1 d=0.951229 t=1360
wgkg 	鸽	c=1 d=0.946485 t=1360
wgmw 	俩	c=1 d=0.169483 t=1360
wh 	个	c=13 d=1.41833 t=1360
wie 	俏	c=1 d=1 t=574
wjg 	但	c=5 d=1.17194 t=1360
wkpn 	保密	c=1 d=1 t=814
wm 	仙	c=2 d=1.20088 t=1360
wq 	你	c=32 d=5.91769 t=1360
wqa 	低	c=1 d=1 t=702
wqj 	像	c=3 d=1.52898 t=939
wqxe 	低级	c=1 d=1 t=1196
wrh 	件	c=1 d=1 t=805
wt 	作	c=2 d=1.18177 t=1317
